Name,Authors,Publisher,Rating,CountsOfReview,pagesNumber,PublishYear,combine_feat
Nickel and Dimed On Not Getting by in America,Barbara Ehrenreich,Owl Books Henry Holt,-1.3589094910707384,0.2249969536912129,-0.6871006638762831,-1.214251156607032,nickel and dimed on not getting by in america barbara ehrenreich owl books henry holt
Under the Banner of Heaven A Story of Violent Faith,Jon Krakauer,Anchor Books,0.1642852904082144,-0.4376858159553075,0.1937768817972366,-0.7611666262037894,under the banner of heaven a story of violent faith jon krakauer anchor books
The World Is Flat A Brief History of the Twenty-first Century,Thomas L. Friedman,"Farrar, Straus and Giroux NY",-1.1530723584384466,-0.1906049763283946,1.3959808277793355,0.5980869650059385,the world is flat a brief history of the twentyfirst century thomas l friedman farrar straus and giroux ny
Little Women,Louisa May Alcott,Signet Classics,0.4936247026198801,2.1333731629649213,0.4707823993046327,-0.3080820958005468,little women louisa may alcott signet classics
The Jane Austen Book Club,Karen Joy Fowler,G.P. Putnam's Sons,-3.623117950025937,-0.0857659481468007,-0.4211753670691828,0.1450024346026958,the jane austen book club karen joy fowler gp putnams sons
Persuasion,Jane Austen,Oxford University Press,0.7406292617786275,1.020327512310201,-0.6372396707249518,-0.3080820958005468,persuasion jane austen oxford university press
Middlesex,Jeffrey Eugenides,Picador USA,0.1642852904082144,2.1535345145383045,0.9139912273164664,-0.7611666262037894,middlesex jeffrey eugenides picador usa
Team of Rivals The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,Simon Schuster,1.3581406596755017,0.2764431611543293,3.058013932823713,0.5980869650059385,team of rivals the political genius of abraham lincoln doris kearns goodwin simon schuster
John Adams,David McCullough,Simon Schuster Paperbacks,0.4112898495669618,0.1657642932066519,2.143895725049305,-1.667335687010275,john adams david mccullough simon schuster paperbacks
Way of the Peaceful Warrior A Book That Changes Lives,Dan Millman,HJ Kramer,0.7406292617786275,-0.3534252707589601,-0.6871006638762831,0.5980869650059385,way of the peaceful warrior a book that changes lives dan millman hj kramer
It's Not about the Bike My Journey Back to Life,Lance Armstrong,Berkley Publishing Group,-0.9884026523326136,-0.3253384223601777,-0.3879347049682953,-1.667335687010275,its not about the bike my journey back to life lance armstrong berkley publishing group
"The Path Between the Seas The Creation of the Panama Canal, 1870-1914",David McCullough,Simon Schuster,0.9876338209373786,-0.4346268522683114,1.8447297661413176,-0.3080820958005468,the path between the seas the creation of the panama canal 18701914 david mccullough simon schuster
"Witches Abroad Discworld, 12 Witches 3",Terry Pratchett,HarperTorch,1.0699686739902932,-0.4023686897508978,0.0552741230435385,-1.214251156607032,witches abroad discworld 12 witches 3 terry pratchett harpertorch
The Time Machine,H.G. Wells,Signet Classics,-0.2885564013828249,0.3837849778071018,-1.3629941265943295,-1.214251156607032,the time machine hg wells signet classics
My Name Is Red,Orhan Pamuk,Vintage,-0.4532261074886578,-0.2139643353927285,0.2934988680998991,-1.214251156607032,my name is red orhan pamuk vintage
The Tipping Point How Little Things Can Make a Big Difference,Malcolm Gladwell,Back Bay Books,0.0407830108288407,1.093881684602062,-0.3491539325172598,-1.214251156607032,the tipping point how little things can make a big difference malcolm gladwell back bay books
The Canterbury Tales,Geoffrey Chaucer,Penguin Classics,-1.8940860359146945,-0.2496985930090012,0.7754884685627684,-0.7611666262037894,the canterbury tales geoffrey chaucer penguin classics
Salt A World History,Mark Kurlansky,Penguin Books,-0.9060677992796972,-0.155704981535848,0.66468626155981,-0.7611666262037894,salt a world history mark kurlansky penguin books
The Years of Rice and Salt,Kim Stanley Robinson,Bantam Books,-0.9060677992796972,-0.4415790424660298,2.2103770492510804,-0.7611666262037894,the years of rice and salt kim stanley robinson bantam books
A People's History of the United States,Howard Zinn,Harper Perennial,0.4936247026198801,0.0810866165984415,2.022013297346051,0.1450024346026958,a peoples history of the united states howard zinn harper perennial
Burning Bright,Tracy Chevalier,Dutton,-2.4704300072851093,-0.4261451802270949,-0.2438918358644493,1.051171495409181,burning bright tracy chevalier dutton
Falling Angels,Tracy Chevalier,Penguin Books,-1.5647466237030283,-0.4107113179881599,-0.1552500702620825,-1.214251156607032,falling angels tracy chevalier penguin books
The Virgin Blue,Tracy Chevalier,Penguin Books,-1.235407211491363,-0.3581527600934087,-0.332533601466816,-0.7611666262037894,the virgin blue tracy chevalier penguin books
"Bleach, Volume 01",Tite Kubo,VIZ Media LLC,1.0699686739902932,-0.4314288447773609,-0.9087050778822,-0.3080820958005468,bleach volume 01 tite kubo viz media llc
Robinson Crusoe,Daniel Defoe,Modern Library,-1.1942397849649056,0.0043344368156301,-0.2438918358644493,-1.667335687010275,robinson crusoe daniel defoe modern library
The Adventures of Huckleberry Finn,Mark Twain,Penguin Classics,-0.5767283870680333,1.027140658703965,-0.2051110634134138,-1.214251156607032,the adventures of huckleberry finn mark twain penguin classics
A Little Princess,Frances Hodgson Burnett,Penguin Books,0.9876338209373786,0.0385392125884047,-0.6760204431759872,-1.214251156607032,a little princess frances hodgson burnett penguin books
A Room with a View,E.M. Forster,Digireads.com,-0.2062215483299085,-0.0971675400710589,-1.3574540162441815,0.1450024346026958,a room with a view em forster digireadscom
Howards End,E.M. Forster,Dover Publications,-0.0003844156976184,-0.3801216811181989,-0.6538600017753956,-1.214251156607032,howards end em forster dover publications
Maurice,E.M. Forster,W. W. Norton Company,0.28778756998759,-0.4358782465039006,-0.5984588982739163,0.1450024346026958,maurice em forster w w norton company
Moloka'i Moloka'i 1,Alan Brennert,St. Martin's Griffin,0.8641315413580031,0.5714941131454994,0.2270175438981241,-0.3080820958005468,molokai molokai 1 alan brennert st martins griffin
Ins of My Soul,Isabel Allende,Harper,-0.1238866952769921,-0.4303164943457259,-0.2383517255143013,0.5980869650059385,ins of my soul isabel allende harper
Birds Without Wings,Louis de Bernires,Vintage,0.8229641148315459,-0.441300954858121,1.0524939860701643,0.1450024346026958,birds without wings louis de bernires vintage
The Five People You Meet in Heaven,Mitch Albom,Hyperion,-0.1238866952769921,1.747387563187594,-0.9308655192827916,-0.7611666262037894,the five people you meet in heaven mitch albom hyperion
In the Lake of the Woods,Tim O'Brien,Mariner Books,-0.7413980931738662,-0.4102941865762969,-0.338073711816964,0.5980869650059385,in the lake of the woods tim obrien mariner books
The Rescue,Nicholas Sparks,Grand Central Publishing,0.6171269821992557,-0.1405492069048219,-0.0666083046597157,0.1450024346026958,the rescue nicholas sparks grand central publishing
A Bend in the Road,Nicholas Sparks,Grand Central Publishing,0.28778756998759,-0.1285914397647462,-0.1275495185113429,0.1450024346026958,a bend in the road nicholas sparks grand central publishing
"True Believer Jeremy Marsh Lexie Darnell, 1",Nicholas Sparks,Grand Central Publishing,-0.6590632401209497,-0.2428854466152371,0.5594241649069994,0.5980869650059385,true believer jeremy marsh lexie darnell 1 nicholas sparks grand central publishing
Three Weeks With My Brother,Nicholas Sparks,Grand Central Publishing,0.28778756998759,-0.2092368460582799,0.0220334609426509,0.5980869650059385,three weeks with my brother nicholas sparks grand central publishing
"The Wedding The Notebook, 2",Nicholas Sparks,Vision,0.1231178638817571,0.160480628656386,-0.4876566912709579,0.1450024346026958,the wedding the notebook 2 nicholas sparks vision
A Walk to Remember,Nicholas Sparks,Grand Central Publishing,0.8641315413580031,0.835816384462754,-0.6871006638762831,-0.3080820958005468,a walk to remember nicholas sparks grand central publishing
Icy Sparks,Gwyn Hyman Rubio,Penguin Books,-1.07073750538553,-0.4137702816751561,-0.2438918358644493,-1.667335687010275,icy sparks gwyn hyman rubio penguin books
Special Topics in Calamity Physics,Marisha Pessl,Penguin Books Ltd,-1.0295700788590727,0.0068372252868087,0.8308895720642476,0.5980869650059385,special topics in calamity physics marisha pessl penguin books ltd
"Twelve Sharp Stephanie Plum, 12",Janet Evanovich,St. Martin's Press,0.7817966883050885,-0.312268304788467,-0.2992929393659285,0.5980869650059385,twelve sharp stephanie plum 12 janet evanovich st martins press
"The Giver The Giver, 1",Lois Lowry,Ember,0.6994618352521703,7.349323380705148,-0.8643841950810166,0.5980869650059385,the giver the giver 1 lois lowry ember
The Emperor's Children,Claire Messud,Alfred A. Knopf,-4.117127068343436,-0.2437197094389633,0.3710604130019701,0.5980869650059385,the emperors children claire messud alfred a knopf
The Sea,John Banville,Vintage,-1.852918609388237,-0.3270069480076301,-0.9364056296329396,0.5980869650059385,the sea john banville vintage
On Beauty,Zadie Smith,Penguin Books,-0.9472352258061564,-0.0683854726525046,0.448621957904041,0.5980869650059385,on beauty zadie smith penguin books
"A Great and Terrible Beauty Gemma Doyle, 1",Libba Bray,Simon and Schuster,-0.7002306666474071,0.5656542733794159,0.2159373231978282,-0.7611666262037894,a great and terrible beauty gemma doyle 1 libba bray simon and schuster
Black Beauty,Anna Sewell,Scholastic Paperbacks,-0.0003844156976184,-0.1060663435241385,-0.6594001121255435,-0.7611666262037894,black beauty anna sewell scholastic paperbacks
Truth and Beauty,Ann Patchett,Harper Perennial,-0.0415518422240757,-0.2071511889989644,-0.5929187879237684,0.1450024346026958,truth and beauty ann patchett harper perennial
The Power and the Glory,Graham Greene,Penguin Books,0.1642852904082144,-0.3555109278182757,-0.7868226501789457,-0.7611666262037894,the power and the glory graham greene penguin books
The Quiet American,Graham Greene,Penguin Classics Deluxe Editions,0.0407830108288407,-0.2572069584225371,-1.0195072848851583,-0.3080820958005468,the quiet american graham greene penguin classics deluxe editions
White Teeth,Zadie Smith,Vintage,-0.7825655197003235,0.2204085081607188,0.4652422889544848,-1.667335687010275,white teeth zadie smith vintage
"Casino Royale James Bond, 1",Ian Fleming,Penguin,-0.9472352258061564,-0.181706172875315,-1.0139671745350105,-1.214251156607032,casino royale james bond 1 ian fleming penguin
The Corrections,Jonathan Franzen,Fourth Estate Paperbacks,-0.6590632401209497,0.4615104642175938,1.600964910734809,-1.214251156607032,the corrections jonathan franzen fourth estate paperbacks
Holy Cow An Indian Adventure,Sarah Macdonald,Broadway Books,-1.7705837563353206,-0.4271184868547755,-0.332533601466816,-0.3080820958005468,holy cow an indian adventure sarah macdonald broadway books
The History of Love,Nicole Krauss,Norton,-0.1650541218034512,0.7850653960194095,-0.6039990086240643,0.5980869650059385,the history of love nicole krauss norton
A History of the World in 6 Glasses,Tom Standage,Bloomsbury,-0.8237329462267826,-0.3429969854623825,-0.1552500702620825,0.5980869650059385,a history of the world in 6 glasses tom standage bloomsbury
"A History of God The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,Gramercy Books,-0.3708912544357414,-0.4279527496785016,0.5317236131562598,-0.3080820958005468,a history of god the 4000year quest of judaism christianity and islam karen armstrong gramercy books
The Terror,Dan Simmons,"Little, Brown and Company",0.4524572760934228,-0.1119061832902219,2.243617711351968,1.051171495409181,the terror dan simmons little brown and company
The Amazing Adventures of Kavalier Clay,Michael Chabon,Picador USA,0.9052989678844604,0.6984411061558379,1.523403365832738,-1.667335687010275,the amazing adventures of kavalier clay michael chabon picador usa
"The Devil and Miss Prym On the Seventh Day, 3",Paulo Coelho,HarperOne,-1.4412443441236549,-0.2941926102743991,-0.8810045261314604,0.5980869650059385,the devil and miss prym on the seventh day 3 paulo coelho harperone
Nine Stories,J.D. Salinger,"Little, Brown and Company",0.9464663944109214,-0.1740587636578247,-0.9197852985824958,-1.667335687010275,nine stories jd salinger little brown and company
Man's Search for Meaning,Viktor E. Frankl,Beacon Press,1.64631264536071,1.3637657080774914,-1.102608940137377,0.5980869650059385,mans search for meaning viktor e frankl beacon press
I Like You Hospitality Under the Influence,Amy Sedaris,Warner Books NY,-0.3297238279092841,-0.3859615208842823,-0.332533601466816,0.5980869650059385,i like you hospitality under the influence amy sedaris warner books ny
Dreamland,Sarah Dessen,Speak,-0.2062215483299085,-0.0396034052339503,-0.6316995603748039,-0.3080820958005468,dreamland sarah dessen speak
First They Killed My Father A Daughter of Cambodia Remembers,Loung Ung,Harper Perennial,1.605145218834249,-0.2120177221373673,-0.6981808845765789,0.5980869650059385,first they killed my father a daughter of cambodia remembers loung ung harper perennial
The Grapes of Wrath,John Steinbeck,Penguin Books,-0.0003844156976184,0.5342303736857286,0.5040230614055202,-1.214251156607032,the grapes of wrath john steinbeck penguin books
"American Gods American Gods, 1",Neil Gaiman,Headline Review,0.6171269821992557,1.6433827978297264,1.5012429244321464,0.1450024346026958,american gods american gods 1 neil gaiman headline review
Complications A Surgeon's Notes on an Imperfect Science,Atul Gawande,Picador USA,1.234638380096126,-0.264715323836073,-0.5208973533718454,-0.7611666262037894,complications a surgeons notes on an imperfect science atul gawande picador usa
The View from Saturday,E.L. Konigsburg,Aladdin Paperbacks,-0.8649003727532399,-0.3207499768296835,-1.04166772628575,-0.7611666262037894,the view from saturday el konigsburg aladdin paperbacks
Extremely Loud Incredibly Close,Jonathan Safran Foer,Mariner Books,0.081950437355298,2.10278352609496,-0.2106511737635617,0.5980869650059385,extremely loud incredibly close jonathan safran foer mariner books
A Moveable Feast,Ernest Hemingway,Vintage,0.3289549965140473,0.0933224713464259,-0.9530259606833834,3.3165941474253944,a moveable feast ernest hemingway vintage
A Widow for One Year,John Irving,Ballantine Books,-0.8237329462267826,-0.3142149180438282,1.174376413773419,-0.3080820958005468,a widow for one year john irving ballantine books
"The Physician Cole Family Trilogy, 1",Noah Gordon,"Little, Brown Book Group",1.6874800718871674,-0.415994982538426,1.938911642093832,-1.667335687010275,the physician cole family trilogy 1 noah gordon little brown book group
The Beautiful and Damned,F. Scott Fitzgerald,Simon Schuster,-0.8649003727532399,-0.3306220869104437,0.3211994198506388,-1.214251156607032,the beautiful and damned f scott fitzgerald simon schuster
The Winter of Our Discontent,John Steinbeck,Penguin Classics,0.1231178638817571,-0.3670515635464882,-0.1552500702620825,1.5042560258124238,the winter of our discontent john steinbeck penguin classics
Cannery Row,John Steinbeck,Penguin Books,0.3289549965140473,-0.0288970323294639,-1.0139671745350105,-1.214251156607032,cannery row john steinbeck penguin books
Longitude The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,Walker Books,-0.0003844156976184,-0.3164396189070981,-0.9530259606833834,0.1450024346026958,longitude the true story of a lone genius who solved the greatest scientific problem of his time dava sobel walker books
"Mayflower A Story of Courage, Community, and War",Nathaniel Philbrick,Viking,-0.3708912544357414,-0.2652714990518905,0.5372637235064077,0.5980869650059385,mayflower a story of courage community and war nathaniel philbrick viking
How to Stop Worrying and Start Living,Dale Carnegie,Gallery Books,0.6994618352521703,-0.3493930004442834,-0.0333676425588282,-0.3080820958005468,how to stop worrying and start living dale carnegie gallery books
Who Moved My Cheese?,Spencer Johnson,Vermilion,-0.6590632401209497,0.614736736175308,-1.484876554297584,-1.214251156607032,who moved my cheese spencer johnson vermilion
Heart of Darkness,Joseph Conrad,Green Integer,-2.22342544812636,0.6070893269578177,-0.9751864020839752,-0.7611666262037894,heart of darkness joseph conrad green integer
"Teacher Man Frank McCourt, 3",Frank McCourt,Scribner,-0.8649003727532399,-0.2991981872167564,-0.5098171326715496,0.5980869650059385,teacher man frank mccourt 3 frank mccourt scribner
